FILE_NO,REPORT_DATE,Month,Year,DATE_OPENED,DIVISION,BUSINESS_LINE,METHOD_OF_TRANSPORT,CUSTOMER_NAME,CUSTOMER_CITY,SHIPPER_NAME,CONSIGNEE_NAME,GROSS_WEIGHT,REVENUE,EXPENSE,PROFIT,DUTY_BILLED,TOTAL_BILLED_TO_ACCOUNT,Rev._Less_Duties
1114897-01,2019-11-02,Nov,2019,9/25/2019,10,15,OE,SENATOR INTERNATIONAL SPEDITION GMB,HAMBURG,WEB INDUSTRIES INC.,WEB INDUSTRIES STADE GMBH,"13,794",2279.9,1177.36,1102.54,,2279.9,2279.9
1114909-01,2019-11-09,Nov,2019,9/30/2019,10,15,OE,SENATOR INTERNATIONAL SPEDITION GMB,HAMBURG,WEB INDUSTRIES INC.,WEB INDUSTRIES STADE GMBH,"10,485",2279.9,1177.36,1102.54,,2279.9,2279.9
1114914-01,2019-12-08,Dec,2019,10/3/2019,10,15,OE,3S FABRICATIONS (PVT) LTD,DANKOTUWA,GROUP FOUR TRANSDUCERS,3S FABRICATIONS (PVT) LTD,"6,155",4930.32,3824.38,1105.94,,4930.32,4930.32
1114916-01,2019-11-11,Nov,2019,10/4/2019,10,15,OE,SHEANDRO LLC,SARASOTA,SHEANDRO LLC,SIMO S.R.L.,"1,424",2305.14,2004.5,300.64,,2305.14,2305.14
1114922-01,2019-11-11,Nov,2019,10/11/2019,10,15,OE,ALISPED JAPAN LTD.,CHIYODA-KU,POLYMERIC SYSTEM INC,ITW PP&F JAPAN C/O NIHONGOSEIKAKO,724,816.85,484.34,332.51,,816.85,816.85
1114927-01,2019-11-08,Nov,2019,10/14/2019,10,15,OE,NEW ENGLAND BIOLABS INC,IPSWICH,NEW ENGLAND BIOLABS INC,"NEW ENGLAND BIOLABS, LTD. UK","1,161",3855.25,2381.42,1473.83,,3880.25,3855.25
1114928-01,2019-11-23,Nov,2019,10/14/2019,10,15,OE,SENATOR INTERNATIONAL SPEDITION GMB,HAMBURG,WEB INDUSTRIES INC.,WEB INDUSTRIES STADE GMBH,"14,272",2279.9,1177.36,1102.54,,2279.9,2279.9
1114929-01,2019-11-02,Nov,2019,10/15/2019,10,15,OE,DART GLOBAL LOGISTICS PVT LTD,COLOMBO 15,FLINTEC INC,STRAINTEC (PVT) LTD,145,580.37,245.15,335.22,,580.37,580.37
1114930-01,2019-11-02,Nov,2019,10/15/2019,10,15,OE,"ELECTRONICS FOR IMAGING, INC.",FREMONT,ELECTRONICS FOR IMAGING INC,EFI BV C/O RAPID LOGISTICS,"4,878",3879.9,2726.8,1153.1,,3904.9,3879.9
1114931-01,2019-11-02,Nov,2019,10/15/2019,10,15,OE,INKCUPS NOW CORPORATION,DANVERS,INKCUPS NOW CORPORATION,KERRY HUNG KAI WAREHOUSE,408,1687.73,1094.41,593.32,,1712.73,1687.73
1114932-01,2019-11-09,Nov,2019,10/16/2019,10,15,OE,INKCUPS NOW CORPORATION,DANVERS,INKCUPS NOW CORPORATION,TRA-SAS,828,872.6,529.49,343.11,,887.6,872.6
