DIVISION,PROFIT
10,1102.54
10,1102.54
10,1105.94
10,300.64
10,332.51
10,1473.83
10,1102.54
10,335.22
10,1153.1
10,593.32
10,343.11
10,473.9
10,2851.02
10,160.49
10,304.55
10,1016.9
10,237.54
10,348.51
10,541.47
10,395.86
10,879.01
10,591.58
10,1003.8
10,-2660.46
10,217.8
10,296.75
10,844.24
10,175.61
10,740
10,293.78
10,360.77
10,320.32
10,652.2
10,568.2
10,852.28
10,1051.78
10,688.1
10,15
10,1040.91
10,274.73
10,295.7
10,1220.5
10,1222.5
10,275.02
10,1038.9
10,1102.54
10,545.67
10,1045.55
10,465.27
10,850.88
10,820.07
10,450
10,429.58
10,221.44
10,690.4
10,1102.54
10,859.92
10,354.81
10,306.5
10,755.52
10,852.92
10,870.59
10,1884.1
10,225.21
10,293.57
10,359.05
10,799
10,330.48
10,2129.99
10,327.33
10,1007.97
10,567.72
10,423.58
10,813.09
10,2981.75
10,264.31
10,1000.9
10,908.9
10,360.31
10,491.16
10,603.24
10,489.62
10,360.32
10,590.55
10,603.8
10,1274.78
10,176.73
10,1102.54
10,1228.53
10,458.36
10,716.96
10,112.28
10,688.09
10,645.56
10,1599.58
10,747.76
10,657.06
10,542.76
10,199.31
10,1155.15
10,112.4
10,274.9
10,77.58
10,811.18
10,1299.81
10,357.05
10,447.96
10,1718.06
10,1703.22
10,1258.72
10,1258.24
10,1213.7
10,1385.53
10,1230.59
10,2451.44
10,1297.76
10,240.91
10,1102.54
10,357.05
10,303.85
10,482.48
10,814
10,2426.91
10,398.08
10,1187.65
10,890.96
10,318.63
10,25
10,674.93
10,831.56
10,1102.54
10,1032.11
10,324.7
10,1013.25
10,413.53
10,1102.54
10,3034.4
10,1274.78
10,1219.19
10,844.88
10,795
10,406.9
10,293.49
10,337.14
10,208.27
10,1197.22
10,178.62
10,767.92
10,788.09
10,887.57
10,828.52
10,629.94
10,242.62
10,357.05
10,1012.9
10,628.96
10,361.47
10,1102.54
10,1102.54
10,1102.54
10,449.04
10,1438.03
10,235
10,863.12
10,844.8
10,245.69
10,1059.26
10,699.46
10,390.84
10,964.71
10,797.09
10,310.95
10,1102.54
10,2089.6
10,422.59
10,935.75
10,875.41
10,435.56
10,690.76
10,226.22
10,301.44
10,364.02
10,1102.54
10,502.56
10,546.49
10,579.34
10,1182.55
10,288.78
10,690.09
10,199.52
10,518.1
10,497.64
10,499.11
10,499.12
10,764.74
10,870.55
10,793.65
10,670
10,783.73
10,756.8
10,226.59
10,1185.9
10,1273.62
10,354.61
10,675.9
10,1238.87
10,333.47
10,357.05
10,50
10,303.51
10,858.34
10,494.69
10,1096.08
10,1165.82
10,357.05
10,2897.6
10,1416.5
10,1102.54
10,1232.92
10,255.11
10,484.03
10,855.68
10,1101.64
10,1359.87
10,872.25
10,294.81
10,366.69
10,688
10,1459.3
10,451.33
10,416
10,1115.28
10,868.19
10,596
10,482.42
10,284.41
10,202.77
10,253.22
10,1608.96
10,1110.5
10,128.74
10,332.14
10,896.69
10,907.74
10,698.9
10,1165.82
10,424.82
10,680.19
10,224.08
10,357.05
10,722.09
10,445.2
10,547.54
10,767.09
10,810.9
10,860
10,1102.54
10,1102.54
10,1102.54
10,283.2
10,948.33
10,921.8
10,1012.8
10,1701.17
10,1521.95
10,1358.58
10,1237.58
10,809
10,343.8
10,695.09
10,695.09
10,279.64
10,1038.61
10,295.37
10,915.5
10,872.25
10,817.09
10,401.16
10,800
10,1060.39
10,197.02
10,288.49
10,313.58
10,397.01
10,966.26
10,339.22
10,587.99
10,587.99
10,604.18
10,382.26
10,544
10,901.46
10,785
10,96.87
10,213.09
10,930.09
10,1102.54
10,1303
10,736.5
10,414.4
10,860
10,736.5
10,886.63
10,885.63
10,710
10,743.6
10,853
10,814.64
10,1222.54
10,337
10,1303
10,1318
10,214.7
10,369.47
10,275.61
10,917.75
10,902.72
10,202.85
10,352
10,608.38
10,926.02
10,987.44
10,560
10,429.17
10,1777.58
10,937.99
10,367.82
10,209.84
10,560.58
10,346.17
10,918.95
10,1695.67
10,744
10,1259.56
10,311.9
10,538.4
10,397.1
10,764.42
10,331.5
10,523
10,390.75
10,661.25
10,312
10,454
10,489
10,460.9
10,661.25
10,489
10,566.25
10,209.84
10,185
10,369.7
10,81.17
10,561.92
10,23.24
10,636.8
10,177.6
10,270.6
10,462.9
10,790.32
10,312.03
10,906.4
10,12.17
10,576.69
10,770.72
20,562.4
10,393.74
10,571.64
10,123.71
10,288.21
10,476.4
10,40
10,540
10,
10,276.5
10,192.7
10,221.4
10,400.9
10,346.5
10,381.24
10,539
10,523
10,
10,355.9
10,731.5
10,
10,355.9
10,1683.6
10,651.8
10,623
10,331.5
10,247.2
10,2092.32
10,259.5
10,1247
10,430.28
10,619
10,371.9
10,576.75
10,596.75
10,546.75
10,546.75
10,561.75
10,597.4
10,197.44
10,100
10,672.9
10,657.66
10,523
10,448
10,331.5
10,990.5
10,696.8
10,1059.2
10,546.75
10,1024.2
10,466.75
10,45.9
10,630.56
10,45.9
10,590.39
10,476.5
10,300.59
10,380.52
10,290.68
10,543.5
10,467.36
10,368.5
10,718.82
10,3.52
10,384.73
20,170.96
10,117.76
10,244.91
10,282.3
10,274.59
10,-91.21
10,279.39
10,470.17
10,415.77
10,471.58
10,
10,337.1
10,611.8
10,486
10,581.04
10,644.2
10,360
10,348.5
10,523
10,
10,337.71
10,624.7
10,331.5
10,3034
10,353.4
10,1284
10,448.18
10,543.5
10,980.5
10,
10,
10,300.7
10,1284
10,1091.4
10,455.63
10,331.5
10,606.83
10,435.53
10,814.28
10,493
10,355
10,341.54
10,174.99
10,378.34
10,467.6
10,394.14
10,440.78
10,471
10,337.1
10,462.5
10,245.14
10,331.5
10,300.01
10,316.7
10,299.02
10,419.31
10,696.54
10,
10,
10,261.61
10,40
10,295.9
10,-84.41
10,306
10,428.63
10,404.41
10,507.73
10,236.3
10,363.96
10,651.06
10,934.2
10,523
10,598.6
10,335.8
10,295.9
10,310.6
10,829.2
10,716.47
10,679.3
10,1061.4
10,493.5
10,423.64
10,235.48
10,488.76
10,337.1
10,203.5
10,175.4
10,1654.5
10,1168
10,
10,
10,
10,
10,208.5
10,565.17
10,347.3
10,482.47
10,597.4
10,23.7
10,295.9
10,315.4
10,191.5
10,456.86
10,236.5
10,483
10,
10,
10,1723
10,250
10,477.54
20,311.43
10,313.95
20,649.3
10,383.11
10,501.07
10,383
10,191.5
10,
10,
10,1106.4
10,840.51
10,568.25
10,1766.4
10,394.06
10,1006.2
10,549.44
10,927.23
10,511.75
10,496.75
10,451.75
10,165.3
10,439.1
10,232.16
10,205.5
10,
10,
10,395
10,1057.9
10,211.83
10,250
10,132.03
10,494.58
10,401.1
10,133.01
10,271.5
10,
10,305
10,717.75
10,312.4
10,738.19
10,698.8
10,92.7
10,394.15
10,521.3
10,337.1
10,502.46
10,624.7
10,360
10,200
10,3279.35
10,425
10,237.3
10,65.94
10,66.21
10,438
10,378
10,505.31
10,103.32
10,415.79
10,148.67
10,40
10,40
10,40
10,1184.82
10,
10,295.9
10,220.76
10,445.9
10,1622.4
10,183.57
10,317.8
10,412.61
10,191.5
10,332.63
10,160
10,300
10,-292.02
10,-292.02
10,224.4
10,4150.5
10,735.89
10,349.66
10,280.94
10,469.74
10,568.5
10,57.6
10,768.6
10,1166.2
10,508.68
10,125
10,808.93
10,1786.02
10,353.5
10,178.6
10,446.37
10,92.53
10,165
10,477
10,371.3
10,1043.6
10,301.41
10,751.5
10,
10,
10,165.06
10,125
10,1060.4
10,244.24
10,459.53
10,325.53
10,391.75
10,431.75
10,436.75
10,481.75
10,271.5
10,
10,345.97
10,213.74
10,458.21
10,392.92
10,339.68
10,703.07
10,564.21
10,
