,FILE NO,DIVISION,MODE OF TRANSPORTATION,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER CODE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF LOAD COUNTRY,PORT OF DCHG NAME,PORT OF DCHG COUNTRY,GROSS WEIGHT,REVENUE,PROFIT,TOTAL BILLED TO ACCOUNT,STATUS,CONTROLLER,INV DATE,DATE INVOICED,LAST EVENT NAME
0,1115429-01,10,,15.0,5.0,JOE WYSON/HOUSE, 3/11/2021,3SFAB01,3S FABRICATIONS (PVT) LTD,NEW JERSEY,US,COLOMBO,LK,1388.914,"2,712.81","1,316.80","2,712.81",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ,12/8/2020,12/8/2020,Profit/Loss Report
1,1115429-02,10,,15.0,5.0,JOE WYSON/HOUSE, 3/11/2021,3SFAB01,3S FABRICATIONS (PVT) LTD,NEW JERSEY,US,COLOMBO,LK,3649.188,"3,591.40","1,624.96","3,591.40",ARRIVED DESTINATION PORT,PHYLLIS POMER, 3/11/2021, 3/11/2021,Profit/Loss Report
2,1115485-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/05/2021,FLECON01,FLEXCON CONVERTING INC.,NEW YORK,US,SINGAPORE,SG,11453.0,"2,904.50","1,255.71","2,904.50",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/05/2021, 2/05/2021,Profit/Loss Report
3,1115517-01,10,,15.0,36.0,VALERIE KOEN, 2/10/2021,WELLPE01,WELLPET LLC,PHILADELPHIA,US,MELBOURNE,AU,58357.159,"16,734.00","1,920.00","16,734.00",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/10/2021, 3/03/2021,Vessel Unloaded
4,1115519-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/05/2021,ELEFOR01,"ELECTRONICS FOR IMAGING, INC.",NEW YORK,US,FELIXSTOWE,GB,7828.631,"3,925.00","1,285.54","3,925.00",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/01/2021, 2/05/2021,Vessel Unloaded
5,1115522-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/12/2021,FLEASI01,FLEXCON ASIA LIMTED,NEW YORK,US,HONG KONG,HK,10795.0,"2,598.50",993.71,"2,623.50",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/12/2021, 2/12/2021,Profit/Loss Report
6,1115529-01,10,,15.0,5.0,JOE WYSON/HOUSE, 4/21/2021,COLCHA01,COLD CHAIN TECHNOLOGIES LLC,PORTLAND,AU,ROTTERDAM,NL,10505.306,"7,774.00","2,217.49","7,824.00",DELIVERED,MARIA RODRIGUEZ, 4/21/2021, 6/10/2021,Profit/Loss Report
7,1115530-01,10,,15.0,5.0,JOE WYSON/HOUSE, 2/09/2021,COLCHA01,COLD CHAIN TECHNOLOGIES LLC,NEW YORK,US,COLON,PA,16869.272,"4,297.25","1,405.11","4,297.25",ARRIVED DESTINATION PORT,MARIA RODRIGUEZ, 2/09/2021, 2/09/2021,Ocean Export Invoice Printed
8,1115532-01,10,,15.0,28.0,JODI O, 2/22/2021,SPETEN01,SPERRY TENTS INC,NEW YORK,US,BRISBANE,AU,6451.0,"9,028.49","1,241.67","9,028.49",DELIVERED,MARIA RODRIGUEZ, 2/16/2021, 2/16/2021,Profit/Loss Report
9,1115534-01,10,,15.0,28.0,JODI O, 2/11/2021,SOCINC01,SOCLEAN INC,"BOSTON, MA",US,HONG KONG,HK,9810.0,"5,569.00","1,256.28","5,594.00",DELIVERED,PHYLLIS POMER, 2/11/2021, 2/11/2021,Vessel Unloaded
10,1115535-01,10,,15.0,282.0,JOLSON - PW REASSIGNED, 2/07/2021,SILMAC,SILVERSON MACHINES INC,NEW JERSEY,US,LONDON,GB,1481.448,"1,289.47",523.8,"1,305.41",ARRIVED DESTINATION PORT,PHYLLIS POMER, 2/07/2021, 2/07/2021,Vessel Unloaded
