,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
1515,1114378-01,10,OE,15.0,36.0,VALERIE KOEN,2019-01-08,WELLPET LLC,LONG BEACH,BRISBANE,5410.0,4323.0,1087.0,5210.0,5210.0,0.0,10634.67,0.0,1.0,20DV,10634.67
1543,1114406-01,10,OE,15.0,36.0,VALERIE KOEN,2019-01-21,WELLPET LLC,LONG BEACH,BRISBANE,5060.0,3998.0,1062.0,5060.0,5060.0,0.0,10549.19,0.0,1.0,20DV,10549.19
2097,1114961-01,10,OE,15.0,36.0,VALERIE KOEN,2019-11-25,WELLPET LLC,LONG BEACH,AUCKLAND,4316.2,3748.0,568.2,4316.2,4316.2,0.0,8310.01,26.429,1.0,40',8310.01
2228,1231076-01,10,OI,25.0,36.0,VALERIE KOEN,2020-05-11,WELLPET LLC,LAEM CHABANG,COLUMBUS,6086.1,5171.35,914.75,5884.0,6086.1,202.1,15317.0,0.0,1.0,40HQ,15317.3
2229,1231077-01,10,OI,25.0,36.0,VALERIE KOEN,2020-05-04,WELLPET LLC,LAEM CHABANG,COLUMBUS,5877.56,5106.81,770.75,5704.0,5877.56,173.56,13285.0,48.0,1.0,40HQ,13284.88
2276,1231120-01,10,OI,25.0,36.0,VALERIE KOEN,2020-05-17,WELLPET LLC,LAEM CHABANG,COLUMBUS,5905.08,5134.33,770.75,5704.0,5905.08,201.08,15362.0,48.0,1.0,40HQ,15326.2
2278,1231122-01,10,OI,25.0,36.0,VALERIE KOEN,2020-05-07,WELLPET LLC,LAEM CHABANG,OAKLAND,4002.8,3428.3,574.5,3865.0,4002.8,137.8,9466.0,55.0,1.0,40HQ,9465.93
2279,1231123-01,10,OI,25.0,36.0,VALERIE KOEN,2020-05-07,WELLPET LLC,LAEM CHABANG,OAKLAND,4045.74,3471.24,574.5,3865.0,4045.74,180.74,13729.0,55.0,1.0,40HQ,13728.72
2281,1231125-01,10,OI,25.0,36.0,VALERIE KOEN,2020-05-07,WELLPET LLC,LAEM CHABANG,OAKLAND,3979.66,3405.16,574.5,3865.0,3979.66,114.66,7980.0,55.0,1.0,40HQ,7980.0
8759,1227913-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-12,WELLPET LLC,LAEM CHABANG,COLUMBUS,5969.92,5362.52,607.4,5410.08,5690.0,279.92,15534.0,42.0,1.0,40DV,15534.0
8761,1227915-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-05,WELLPET LLC,LAEM CHABANG,COLUMBUS,5885.0,5547.17,337.83,5611.54,5885.0,273.46,21101.0,42.0,1.0,40DV,21101.7
8762,1227916-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-05,WELLPET LLC,LAEM CHABANG,COLUMBUS,5690.0,5178.75,511.25,5407.93,5690.0,282.07,16097.0,42.0,1.0,40DV,16097.25
8763,1227917-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-05,WELLPET LLC,LAEM CHABANG,COLUMBUS,5690.0,5198.75,491.25,5480.33,5690.0,209.67,14090.0,42.0,1.0,40DV,14090.64
8766,1227920-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-05,WELLPET LLC,LAEM CHABANG,COLUMBUS,5935.55,5334.3,601.25,5444.45,5690.0,245.55,15937.0,42.0,1.0,40DV,15937.2
8833,1227976-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-12,WELLPET LLC,LAEM CHABANG,COLUMBUS,4920.0,4775.25,144.75,4692.25,4920.0,227.75,19523.0,42.0,1.0,40DV,19523.4
8834,1227977-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-12,WELLPET LLC,LAEM CHABANG,COLUMBUS,4920.0,4547.5,372.5,4920.0,4920.0,0.0,18595.68,42.0,1.0,40DV,18595.68
8835,1227978-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-12,WELLPET LLC,LAEM CHABANG,COLUMBUS,4920.0,4547.5,372.5,4920.0,4920.0,0.0,16792.64,42.0,1.0,40',16792.64
8836,1227979-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-12,WELLPET LLC,LAEM CHABANG,COLUMBUS,4920.0,4547.5,372.5,4920.0,4920.0,0.0,18215.54,42.0,1.0,40DV,18215.54
8837,1227980-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-12,WELLPET LLC,LAEM CHABANG,COLUMBUS,5070.0,4715.92,354.08,5070.0,5070.0,0.0,20074.08,42.0,1.0,40DV,20074.08
8892,1228036-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-19,WELLPET LLC,LAEM CHABANG,COLUMBUS,5977.2,5470.95,506.25,5402.8,5690.0,287.2,19349.0,42.0,1.0,40DV,19349.75
8893,1228037-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-19,WELLPET LLC,LAEM CHABANG,COLUMBUS,5967.1,5370.85,596.25,5412.9,5690.0,277.1,19481.0,42.0,1.0,40DV,19481.75
8894,1228038-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-19,WELLPET LLC,LAEM CHABANG,COLUMBUS,5965.3,5509.05,456.25,5690.0,5965.3,275.3,10101.0,42.0,1.0,40DV,10101.0
8896,1228040-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-19,WELLPET LLC,LAEM CHABANG,COLUMBUS,6020.47,5514.22,506.25,5359.53,5690.0,330.47,17680.0,42.0,1.0,40DV,17680.68
8897,1228041-01,10,OI,25.0,36.0,VALERIE KOEN,2019-01-19,WELLPET LLC,LAEM CHABANG,,5991.3,5504.24,487.06,5388.7,5690.0,301.3,16313.0,42.0,1.0,40DV,16313.02
