,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER CODE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
0,130032715-01,10,AE,35.0,22.0,MOLIVEIRA,2021-01-16,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,5045.7,4388.81,656.89,5045.7,5045.7,0.0,227.0,2.14,0.0,,227.0
1,130031528,10,AE,35.0,22.0,MOLIVEIRA,2020-01-18,AKOBIO01,"AKOYA BIOSCIENCES, INC.",BOSTON-LOGAN INTL AIRPORT,,772.6,529.1,243.5,772.6,772.6,0.0,182.0,0.0,0.0,,182.0
2,130031509-01,10,AE,35.0,22.0,MOLIVEIRA,2020-01-18,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,1394.97,1036.79,358.18,1394.97,1394.97,0.0,139.0,1.142,0.0,,139.0
3,130031509-02,10,AE,35.0,22.0,MOLIVEIRA,2020-01-18,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,1215.96,870.37,345.59,1215.96,1215.96,0.0,53.0,0.614,0.0,,53.0
4,130031330-01,10,AE,35.0,22.0,MOLIVEIRA,2019-11-23,AKOBIO01,"AKOYA BIOSCIENCES, INC.",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,17492.38,16734.43,757.95,17492.38,17517.86,0.0,182.0,0.766,0.0,,182.0
5,130031342-01,10,AE,35.0,22.0,MOLIVEIRA,2019-11-26,AKOBIO01,"AKOYA BIOSCIENCES, INC.",BOSTON-LOGAN INTL AIRPORT,VANCOUVER INT'L AIRPORT,4689.15,4342.03,347.12,4689.15,4689.15,0.0,98.0,0.788,0.0,,98.0
6,130031347-01,10,AE,35.0,22.0,MOLIVEIRA,2019-11-30,AKOBIO01,"AKOYA BIOSCIENCES, INC.",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,68468.06,68294.16,173.9,68468.06,68600.06,0.0,229.0,2.109,0.0,,229.0
7,130031389-01,10,AE,35.0,22.0,MOLIVEIRA,2019-12-10,AKOBIO01,"AKOYA BIOSCIENCES, INC.",HOUSTON - INTERCONTINENTA,TORONTO,21383.75,21033.72,350.03,21383.75,21383.75,0.0,182.0,2.121,0.0,,182.0
8,130031400-01,10,AE,35.0,22.0,MOLIVEIRA,2019-12-14,AKOBIO01,"AKOYA BIOSCIENCES, INC.",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,63370.13,63095.64,274.49,63370.13,63502.13,0.0,222.0,2.109,0.0,,222.0
9,130031432-01,10,AE,35.0,22.0,MOLIVEIRA,2019-12-21,AKOBIO01,"AKOYA BIOSCIENCES, INC.",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,1819.21,1514.83,304.38,1819.21,1937.86,0.0,226.0,2.029,0.0,,226.0
10,130031437-01,10,AE,35.0,22.0,MOLIVEIRA,2020-01-05,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,1619.62,1197.12,422.5,1619.62,0.0,0.0,224.0,2.109,0.0,,224.0
11,1428520-01,10,AI,45.0,22.0,MOLIVEIRA,2020-01-26,AKOBIO02,"AKOYA BIOSCIENCES, INC",AMSTERDAM,BOSTON-LOGAN INTL AIRPORT,1119.82,710.24,409.58,1119.82,1119.82,0.0,96.0,0.797,0.0,,96.0
12,130032691-01,10,AE,35.0,22.0,MOLIVEIRA,2020-12-09,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,3508.38,3162.66,345.72,3508.38,3508.38,0.0,233.0,2.086,0.0,,233.0
13,130032697-01,10,AE,35.0,22.0,MOLIVEIRA,2020-12-11,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,3547.43,2829.02,718.41,3547.43,3547.43,0.0,149.0,2.087,0.0,,149.0
14,130032647-01,10,AE,35.0,22.0,MOLIVEIRA,2020-12-01,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,5447.9,4733.58,714.32,5447.9,5447.9,0.0,188.0,2.912,0.0,,188.0
15,130032585-01,10,AE,35.0,22.0,MOLIVEIRA,2020-11-14,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,2196.94,1709.33,487.61,2196.94,2196.94,0.0,125.0,1.511,0.0,,125.0
16,130032565-01,10,AE,35.0,22.0,MOLIVEIRA,2020-11-12,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,3356.2,2843.35,512.85,3356.2,3356.2,0.0,89.0,0.959,0.0,,89.0
17,130032482-01,10,AE,35.0,22.0,MOLIVEIRA,2020-10-26,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,3107.78,2670.48,437.3,3107.78,3107.78,0.0,225.0,2.078,0.0,,225.0
18,150111195,10,CB,55.0,22.0,MOLIVEIRA,2020-01-21,AKOBIO01,"AKOYA BIOSCIENCES, INC.",,2095,314.91,94.91,220.0,220.0,314.91,94.91,85.0,0.0,1.0,,0.0
19,150111081,10,CB,55.0,22.0,MOLIVEIRA,2020-01-16,AKOBIO02,"AKOYA BIOSCIENCES, INC",,0901,675.0,425.0,250.0,675.0,675.0,0.0,200.0,0.0,0.0,,0.0
20,150111082,10,CB,55.0,22.0,MOLIVEIRA,2020-01-17,AKOBIO02,"AKOYA BIOSCIENCES, INC",,3004,575.0,325.0,250.0,575.0,575.0,0.0,200.0,0.0,0.0,,0.0
21,130032420-01,10,AE,35.0,22.0,MOLIVEIRA,2020-10-12,AKOBIO02,"AKOYA BIOSCIENCES, INC",BOSTON-LOGAN INTL AIRPORT,AMSTERDAM,19837.16,19459.26,377.9,19837.16,19837.16,0.0,122.0,1.196,0.0,,122.0
22,150109505,10,CB,55.0,22.0,MOLIVEIRA,2019-11-04,AKOBIO01,"AKOYA BIOSCIENCES, INC.",,0417,6546.27,6326.27,220.0,220.0,6546.27,6326.27,58.0,0.0,1.0,,58.0
23,150109927,10,CB,55.0,22.0,MOLIVEIRA,2019-11-25,AKOBIO01,"AKOYA BIOSCIENCES, INC.",,2095,3971.69,3751.69,220.0,220.0,3971.69,3751.69,180.0,0.0,1.0,,180.0
