,FILE NO,DIVISION,METHOD OF TRANSPORT,BUSINESS LINE,SALESMAN CODE,SALESMAN NAME,REPORT DATE,CUSTOMER NAME,PORT OF LOAD NAME,PORT OF DCHG NAME,REVENUE,EXPENSE,PROFIT,TOTAL REVENUE LESS DUTIES,TOTAL BILLED TO ACCOUNT,TOTAL DUTY BILLED,GROSS WEIGHT,TOT CBM,CONTAINER COUNT,CONTAINER TYPE,TOT KGS
1003,1113836-01,10,OE,15.0,36.0,VALERIE KOEN,2018-05-16,WELLPET LLC,PHILADELPHIA,SYDNEY,9071.0,6791.0,2280.0,3850.0,3850.0,0.0,16542.229,0.0,1.0,40',16542.229
1027,1113861-01,10,OE,15.0,36.0,VALERIE KOEN,2018-05-09,WELLPET LLC,PHILADELPHIA,SYDNEY,5221.0,3657.0,1564.0,5221.0,5221.0,0.0,15092.42,49.838,1.0,40HQ,15092.42
1088,1113925-01,10,OE,15.0,36.0,VALERIE KOEN,2018-06-06,WELLPET LLC,PHILADELPHIA,SYDNEY,5221.0,3617.0,1604.0,0.0,0.0,0.0,15943.935,0.0,1.0,40HQ,15943.935
1138,1113975-01,10,OE,15.0,36.0,VALERIE KOEN,2018-07-04,WELLPET LLC,PHILADELPHIA,SYDNEY,5221.0,3727.0,1494.0,5221.0,5221.0,0.0,16202.0,0.0,1.0,40',16202.0
1147,1113984-01,10,OE,15.0,36.0,VALERIE KOEN,2018-07-12,WELLPET LLC,PHILADELPHIA,SYDNEY,5221.0,3865.4,1355.6,5221.0,5221.0,0.0,18567.63,0.0,1.0,40HQ,18567.63
1172,1114006-01,10,OE,15.0,36.0,VALERIE KOEN,2018-07-19,WELLPET LLC,PHILADELPHIA,SYDNEY,5230.0,3960.0,1270.0,5230.0,5230.0,0.0,18574.6,0.0,1.0,40HQ,18574.6
1200,1114035-01,10,OE,15.0,36.0,VALERIE KOEN,2018-07-29,WELLPET LLC,LONG BEACH,SYDNEY,5230.0,4224.0,1006.0,5230.0,5230.0,0.0,19217.97,0.0,1.0,40HQ,19217.97
1202,1114037-01,10,OE,15.0,36.0,VALERIE KOEN,2018-08-01,WELLPET LLC,PHILADELPHIA,SYDNEY,4885.0,3885.0,1000.0,4885.0,4885.0,0.0,19049.94,0.0,1.0,40HQ,19049.94
1254,1114097-01,10,OE,15.0,36.0,VALERIE KOEN,2018-08-19,WELLPET LLC,LONG BEACH,SYDNEY,4885.0,4329.0,556.0,4885.0,4885.0,0.0,19624.39,0.0,1.0,40HQ,19624.39
1256,1114099-01,10,OE,15.0,36.0,VALERIE KOEN,2018-08-26,WELLPET LLC,PHILADELPHIA,BRISBANE,5210.0,4317.0,893.0,5210.0,5210.0,0.0,18089.122,0.0,1.0,40HQ,18089.122
1327,1114185-01,10,OE,15.0,36.0,VALERIE KOEN,2018-10-07,WELLPET LLC,LONG BEACH,SYDNEY,5285.0,4610.0,675.0,5285.0,5285.0,0.0,19624.39,0.0,1.0,40HQ,19624.39
1423,1114281-01,10,OE,15.0,36.0,VALERIE KOEN,2018-11-14,WELLPET LLC,PHILADELPHIA,SYDNEY,5285.0,4150.0,1135.0,5285.0,5285.0,0.0,19338.455,0.0,1.0,40HQ,19338.455
1469,1114330-01,10,OE,15.0,36.0,VALERIE KOEN,2018-12-20,WELLPET LLC,LONG BEACH,BRISBANE,5210.0,5018.0,192.0,5210.0,5210.0,0.0,16477.63,0.0,1.0,40HQ,16477.63
1515,1114378-01,10,OE,15.0,36.0,VALERIE KOEN,2019-01-08,WELLPET LLC,LONG BEACH,BRISBANE,5410.0,4323.0,1087.0,5210.0,5210.0,0.0,10634.67,0.0,1.0,20DV,10634.67
1543,1114406-01,10,OE,15.0,36.0,VALERIE KOEN,2019-01-21,WELLPET LLC,LONG BEACH,BRISBANE,5060.0,3998.0,1062.0,5060.0,5060.0,0.0,10549.19,0.0,1.0,20DV,10549.19
